profile,timing,energy,DX,DY
9.999999999999988,0.45041982025144106,4.504198202514405,9.894779420210398,1.4465218676990297
9.999999999999963,0.18654238249384902,1.8654238249384834,9.909130109554098,1.344727987079128
9.99999999999992,0.14310459138526935,1.431045913852682,9.921936827777245,1.246751338148611
10.0,0.1206138782081129,1.206138782081129,9.93330596065789,1.152699849866126
10.0,0.10623804896995206,1.0623804896995206,9.943343496888701,1.0626699887790503
9.999999999999995,0.09602459429619456,0.9602459429619451,9.952154196071206,0.9767473404331035
9.999999999999815,0.08828411956601624,0.8828411956601461,9.959840829287714,0.8950072559324003
9.99999999999997,0.08215515588210166,0.8215515588210142,9.966503499163082,0.8175155472254172
10.0,0.07714571676417163,0.7714571676417163,9.972239034505037,0.7443292146385332
7.088465266848752,0.07351051992059694,0.5210767672051447,9.977140458795475,0.6754971921409947
4.700856795520411,0.0712909653977894,0.3351286191494088,9.981296529986139,0.61106109711492
1.3710931747460238,0.07023115062204668,0.09629345127244816,9.984791346323618,0.5510559727610946
7.891648520419602,0.0687078349406413,0.542218083950546,9.987704011655296,0.4955110128045881
1.0949748998655998e-13,0.06746570029898175,7.38732484292401e-15,9.99010835748777,0.4444502598702176
9.692218256307579e-14,0.06747840323383204,6.540154117294313e-15,9.992072713794187,0.3978932699547997
1.413301049241175e-13,0.06748977632461829,9.538337169263525e-15,9.993659723477322,0.3558557369007378
7.633481161184104e-14,0.06749995407742447,5.152596278308118e-15,9.994926194303844,0.31835007185272346
9.275414446580695e-14,0.06750907178530352,6.2617461971265745e-15,9.995922983034689,0.28538593372472043
4.668800799610081e-14,0.06751726538454715,3.1522466261485978e-15,9.996694906476478,0.25697070755932927
6.349834348841325e-14,0.06752467133524942,4.28770477438788e-15,9.997280675088405,0.23310992841213363
3.202345603291883e-14,0.06753142651697577,2.1625896679066625e-15,9.997712843687623,0.21380764896158944
4.684371047601158e-14,0.06753766814506752,3.1637149728124932e-15,9.998017776524648,0.19906674959652548
4.022116913745743e-14,0.06754353370428469,2.716679893261591e-15,9.9982156232727,0.1888891900710128
0.0,0.06754916089489515,0.0,9.998320302838692,0.18327620211053386
0.0,0.06755468759937694,0.0,9.998339494450192,0.18222842260504635
0.0,0.0675602518454397,0.0,9.99827463128895,0.18574596709309787
0.0,0.06756599179705826,0.0,9.998120900854701,0.1938284435115314
0.0,0.06757204574444595,0.0,9.997867247875547,0.20647490611673902
0.0,0.06757855209405896,0.0,9.99749638067442,0.2236837496535351
0.0,0.06758564937886609,0.0,9.9969847853572,0.24545254401250816
0.0,0.06759347625575335,0.0,9.9963027449121,0.27177780959745945
0.0,0.06760217151426705,0.0,9.995414369404898,0.30265473398211284
0.0,0.06761187407874392,0.0,9.994277637815685,0.3380768305602082
0.0,0.06762272300778609,0.0,9.992844455882732,0.37803554029440534
2.9197889070693406e-15,0.06763485749503124,1.9747950664520787e-16,9.991060734864732,0.422519778129427
5.775373495496458e-15,0.06764841685943658,3.9069487374228573e-16,9.988866494313697,0.4715154261083896
8.759869133981951e-15,0.06766354052254167,5.927237601193497e-16,9.986195993769797,0.5250047759227563
1.0291573976605011e-14,0.06768036798859255,6.965375139184499e-16,9.982977901381673,0.582965924585956
9.735167894289051e-15,0.06769903880335323,6.590615090326331e-16,9.979135501816927,0.6453721276065139
8.527384087008602e-15,0.06771969250578647,5.774718282509592e-16,9.974586951648234,0.7121911153687144
6.4614728735822804e-15,0.06774246855963194,4.377161229875623e-16,9.969245586398756,0.7833843794462929
3.634513726483374e-15,0.06776750627899254,2.4630193178054665e-16,9.963020287250401,0.8589064371623429
1.739742776894627e-15,0.06779494473254467,1.1794576540841503e-16,9.955815910689125,0.9387040838624969
1.6040519307710143e-15,0.06782492262873509,1.0879469809701717e-16,9.947533786362328,1.0227156439939797
8.183344219838201e-16,0.06785757818664687,5.553019202259154e-17,9.93807228787773,1.110870233653145
7.261894473823364e-16,0.06789304899034164,4.930321572739809e-17,9.927327479090309,1.203087048664333
0.0,0.06793147182081336,0.0,9.915193836422986,1.2992746935206867
0.0,0.06797298247424763,0.0,9.901565048130578,1.3993305679283061
0.0,0.06801771556204773,0.0,9.886334887414705,1.5031403284070173
0.0,0.06806580429525373,0.0,9.8693981550241,1.6105774430594195
1.181608845295336e-15,0.06811738025849373,8.04880990317821e-17,9.850651684791956,1.7215028578073444
1.2489648078323461e-15,0.06817257316456679,8.514514474191972e-17,9.829995400832559,1.8357647916291029
0.0,0.0682315111868736,0.0,9.807338734390214,1.9531727128597893
0.0,0.06829432376921435,0.0,9.783953402620682,2.067190615263769
0.0,0.0683606304014768,0.0,9.763172771818063,2.163286047128757
0.0,0.06842981951613814,0.0,9.745902959730302,2.2398619729372413
0.0,0.06850130919296998,0.0,9.732525196704955,2.297335369425184
0.0,0.06857452229637492,0.0,9.723316184681607,2.336032050124686
0.0,0.06864888301242937,0.0,9.71845754138485,2.356177413422188
0.0,0.0687238132685554,0.0,9.718042297026841,2.357890681755613
0.0,0.06879872911067622,0.0,9.72207831509877,2.341182053225367
0.0,0.06887303711711475,0.0,9.730488583954866,2.305952464018034
0.0,0.06894613094521873,0.0,9.743108376460441,2.2519959363388224
1.2903049982981402e-14,0.06901738810472081,8.905348084100388e-16,9.759679319540737,2.179004761718801
3.8457545692673544e-14,0.06908616718435256,2.6568844312239223e-15,9.77984012424713,2.0865797842462257
5.617227366114141e-14,0.06915196753323159,3.884423244483051e-15,9.802208459950634,1.9788036220789849
6.672139601847905e-14,0.06921448993132702,4.6180873929251015e-15,9.823577471979661,1.8698439494345394
8.026344282247955e-14,0.06927365733036903,5.5601422342401156e-15,9.843382127837685,1.7626276616584136
8.845766743635773e-14,0.06932950204351367,6.132726035293416e-15,9.86167017963453,1.6572650021173985
9.146088400339835e-14,0.06938206183516062,6.345744709422237e-15,9.878492939787975,1.553860321669859
9.348743783222193e-14,0.06943137970844607,6.490961794098747e-15,9.893904835553258,1.4525119095842882
8.810019128407966e-14,0.06947750367548342,6.1209813637504365e-15,9.90796296082408,1.3533118850965877
8.358406285713886e-14,0.06952048652342346,5.810804715432702e-15,9.920726632117294,1.2563461471643649
6.824185447947804e-14,0.06956038555719739,4.74692970873065e-15,9.932256950560259,1.1616943786210925
5.685398184821239e-14,0.06959726234580846,3.95688149009387e-15,9.942616377702507,1.069430101306608
4.6223547858437544e-14,0.06963118245720622,3.218600294750268e-15,9.951868326425028,0.9796207774484316
2.9996902190802514e-14,0.06966221519522169,2.0896506556057014e-15,9.96007677167654,0.8923279528159611
1.5311244728666536e-14,0.06969043332436986,1.0670472798762446e-15,9.967305881218635,0.8076074365475137
0.0,0.06971591281817341,0.0,9.973619673110079,0.7255095131456955
0.0,0.069738732585234,0.0,9.97908169447328,0.6460791810962974
0.0,0.06975897422368565,0.0,9.983754729364591,0.56935641391145
0.0,0.06977672176373784,0.0,9.987700530109578,0.4953764384899415
0.0,0.06979206143714778,0.0,9.990979577378312,0.4241700267848785
0.0,0.06980508143482658,0.0,9.99365086281614,0.35576379634980526
0.0,0.06981587169591892,0.0,9.995771699504985,0.29018051631895503
0.0,0.06982452369077821,0.0,9.997397553706833,0.22743941512572974
0.0,0.06983113023147546,0.0,9.99858190134546,0.16755648707732007
0.0,0.06983578527585606,0.0,9.99937610285997,0.11054479491370728
0.0,0.06983858376298674,0.0,9.999829300249985,0.05641476611272367
0.0,0.06983962144709355,0.0,9.999988329946063,0.005174480786266145
0.0,0.06983899475188078,0.0,9.999897652960499,-0.04317005049999523
0.0,0.0698368006327718,0.0,9.99959929886245,-0.08861462044886537
0.0,0.06983313645598288,0.0,9.999132823213586,-0.13115657146816773
0.0,0.0698280998864557,0.0,9.998535275735776,-0.1707945557563164
0.0,0.06982178878380711,0.0,9.997841177573719,-0.20752830974524272
0.0,0.06981430112011777,0.0,9.997082508198218,-0.24135844347668467
0.0,0.06980573489843353,0.0,9.996288697584532,-0.2722862452477415
0.0,0.06979618809080249,0.0,9.995486625120975,-0.3003135018205967
0.0,0.06978575857202235,0.0,9.994700620700314,-0.3254423342495869
0.0,0.0697745440804109,0.0,9.99395247145003,-0.3476750494994718
0.0,0.0697626421777218,0.0,9.99326142919017,-0.3670140077373958
0.0,0.06975015021386989,0.0,9.992644218618807,-0.38346150524273526
0.0,0.06973716530899142,0.0,9.992115047316474,-0.39701967290972107
0.0,0.06972378433795334,0.0,9.991685614841117,-0.4076903901618181
0.0,0.06971010391947818,0.0,9.991365120731643,-0.41547521416622146
0.0,0.06969622041513965,0.0,9.991160271783883,-0.42037532427195856
0.0,0.06968222993135308,0.0,9.991075287325657,-0.42239148153780093
0.0,0.06966822832948498,0.0,9.991111903036654,-0.42152400330733997
0.0,0.06965431123582999,0.0,9.991269372039824,-0.41777275273445014
0.0,0.06964057406155526,0.0,9.991544464719482,-0.41113714330171547
0.0,0.06962711202173431,0.0,9.991931465810922,-0.40161615827859976
0.0,0.06961402015587392,0.0,9.992422169307247,-0.38920838517674383
0.0,0.06960139335671546,0.0,9.993005872456706,-0.37391206531184196
0.0,0.06958932639945571,0.0,9.993669368122937,-0.35572515851485775
0.0,0.069577913964114,0.0,9.994396934962424,-0.33464542306933254
0.0,0.06956725067219262,0.0,9.995170329057146,-0.3106705111052719
0.0,0.06955743111497881,0.0,9.995968774455832,-0.283798079445873
0.0,0.06954854988178513,0.0,9.996768954624713,-0.25402591606479064
0.0,0.06954070159186965,0.0,9.997545006262953,-0.22135208224848668
0.0,0.06953398092417268,0.0,9.998268515664677,-0.18577507047301367
0.0,0.06952848264080383,0.0,9.998908518173266,-0.14729397797020738
0.0,0.06952430161718953,0.0,9.999431503820233,-0.10590869592199681
0.0,0.06952153286198447,0.0,9.999801428057253,-0.06162011403274903
0.0,0.06952027153448129,0.0,9.999979730127961,-0.014430340191395885
0.0,0.06952061296788914,0.0,9.999925361807982,0.03565706525512269
0.0,0.06952265267216334,0.0,9.999594824330416,0.08863684127757665
0.0,0.06952648635031561,0.0,9.998942220045137,0.14450176482169752
0.0,0.06953220989604625,0.0,9.997919315901527,0.2032423774304135
0.0,0.06953991939600403,0.0,9.9964756238478,0.264846701174136
0.0,0.06954971111444827,0.0,9.994558496691752,0.32929994545702357
0.0,0.0695616814889095,0.0,9.992113245243672,0.39658420670768635
0.0,0.06957592709885024,0.0,9.989083272921562,0.46667816305621557
0.0,0.0695925446498109,0.0,9.985410235458403,0.5395567667705166
0.0,0.0696116309292431,0.0,9.981034220800211,0.6151909371594684
0.0,0.0696332827701494,0.0,9.975893955561332,0.6935472574294579
0.0,0.06965759700473231,0.0,9.969927036399895,0.7745876790514785
0.0,0.06968467040250914,0.0,9.963070186131517,0.8582692375109957
0.0,0.0697145996128089,0.0,9.955259537673555,0.9445437839127351
0.0,0.06974748109137595,0.0,9.946430942727602,1.0333577367707107
0.0,0.06978341102720016,0.0,9.936520306837338,1.124651858907356
0.0,0.06982248525762351,0.0,9.92546394791134,1.2183610641977225
